Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task)
Reward Task,0.05058,0.00327,0.01578,0.03792,0.02694,0.04730,0.03998,0.06736,0.06436,0.02843,0.05272,0.56536
Saccades,0.02456,0.06526,0.00003,0.03691,0.00145,0.80403,0.00312,0.02481,0.00186,0.00029,0.00002,0.03768
Semantic Monitor/Discrimination,0.02659,0.00744,0.08108,0.05543,0.50332,0.01044,0.01296,0.00910,0.01861,0.12410,0.09884,0.05209
Sequence Recall/Learning,0.29647,0.02864,0.07411,0.02481,0.04044,0.25302,0.01182,0.01134,0.07797,0.02328,0.08576,0.07234
Simon Task,0.11568,0.00062,0.05613,0.14715,0.01369,0.09704,0.09608,0.26665,0.02076,0.15371,0.03033,0.00216
Sleep,0.08639,0.00071,0.00103,0.00040,0.00050,0.17217,0.00098,0.41833,0.02600,0.00055,0.12516,0.16780
Spatial/Location Discrimination,0.02108,0.00056,0.00762,0.26090,0.01795,0.15155,0.02884,0.08294,0.20569,0.00927,0.16062,0.05298
Sternberg Task,0.04046,0.08093,0.00709,0.00677,0.24857,0.03750,0.00146,0.10969,0.36534,0.00023,0.04693,0.05503
Stroop Task,0.00002,0.01117,0.02318,0.07861,0.12415,0.03318,0.00627,0.30788,0.19404,0.10772,0.05489,0.05890
Subjective Emotional Picture Discrimination,0.00981,0.00125,0.00778,0.06701,0.12501,0.06863,0.00242,0.08055,0.00083,0.05346,0.49262,0.09064
Syntactic Discrimination,0.00003,0.02026,0.32732,0.00003,0.17618,0.00003,0.09939,0.02336,0.12907,0.03938,0.10252,0.08242
Tactile Monitor/Discrimination,0.28448,0.07830,0.04261,0.04685,0.01584,0.05844,0.25821,0.06443,0.10293,0.01550,0.02722,0.00519
Task Switching,0.08051,0.00886,0.00451,0.09145,0.18773,0.12913,0.00743,0.13040,0.32968,0.00114,0.00574,0.02342
Theory of Mind Task,0.00013,0.00003,0.13001,0.00375,0.00016,0.03105,0.00021,0.02268,0.02828,0.55095,0.23240,0.00037
Tone Monitor/Discrimination,0.01177,0.06216,0.30269,0.00535,0.01948,0.15929,0.08965,0.10419,0.19136,0.00190,0.00652,0.04563
Tower of London,0.00005,0.00003,0.00003,0.00001,0.00004,0.18133,0.00013,0.19545,0.35858,0.00011,0.02449,0.23975
Transcranial Magnetic Stimulation,0.38708,0.05571,0.04630,0.00157,0.00004,0.02424,0.18694,0.11058,0.00194,0.04938,0.12601,0.01020
Vibrotactile Monitor/Discrimination,0.89527,0.02995,0.00004,0.00001,0.00007,0.00258,0.00003,0.00005,0.00508,0.00003,0.00003,0.06685
Video Games,0.00016,0.00013,0.00037,0.00071,0.00012,0.00029,0.17508,0.00017,0.13710,0.60244,0.08322,0.00020
Visual Distractor/Visual Attention,0.07971,0.01997,0.01809,0.28044,0.03662,0.28027,0.02585,0.10799,0.07709,0.04811,0.01714,0.00872
Visual Pursuit/Tracking,0.12784,0.00502,0.00002,0.58958,0.00003,0.19617,0.00379,0.02509,0.01514,0.03014,0.00007,0.00712
Whistling,0.14312,0.78401,0.00003,0.01072,0.00005,0.00004,0.02747,0.00003,0.00004,0.01516,0.00479,0.01454
Wisconsin Card Sorting Test,0.01760,0.00002,0.00022,0.17583,0.07093,0.02312,0.03514,0.00072,0.58915,0.03271,0.00286,0.05168
Word Generation (Covert),0.02475,0.01219,0.05689,0.01271,0.53294,0.03118,0.00286,0.14608,0.04772,0.11098,0.01107,0.01063
Word Generation (Overt),0.00469,0.07048,0.12939,0.00001,0.39332,0.00326,0.00371,0.22269,0.00191,0.04403,0.07547,0.05105
Word Stem Completion (Covert),0.00007,0.22262,0.00010,0.00011,0.60562,0.00008,0.00008,0.17083,0.00021,0.00015,0.00008,0.00007
Word Stem Completion (Overt),0.00003,0.08451,0.05159,0.00004,0.42377,0.02210,0.01281,0.08561,0.20673,0.06052,0.00005,0.05224
Writing,0.68548,0.00144,0.03274,0.00735,0.04296,0.22983,0.00004,0.00003,0.00005,0.00003,0.00003,0.00003
n-back,0.03991,0.01951,0.03075,0.06099,0.14381,0.09795,0.01469,0.13352,0.37947,0.01273,0.05285,0.01383
