Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task),Pr(Comp 13 | Task),Pr(Comp 14 | Task)
Task Switching,0.07899,0.00879,0.00142,0.09233,0.04601,0.13512,0.09594,0.01158,0.07087,0.39789,0.01213,0.02324,0.00089,0.02480
Theory of Mind Task,0.00001,0.00002,0.11070,0.00002,0.00016,0.00019,0.02034,0.00002,0.00002,0.00544,0.02723,0.81239,0.02343,0.00005
Tone Monitor/Discrimination,0.00387,0.05203,0.26258,0.00001,0.06720,0.04589,0.10520,0.04558,0.13531,0.21311,0.00069,0.00397,0.02367,0.04091
Tower of London,0.00003,0.00003,0.00002,0.00001,0.00002,0.00005,0.17883,0.00003,0.08951,0.40971,0.08042,0.00020,0.00124,0.23989
Transcranial Magnetic Stimulation,0.27974,0.02062,0.03352,0.00006,0.00678,0.00022,0.02529,0.28404,0.09841,0.01073,0.04803,0.04591,0.12894,0.01771
Vibrotactile Monitor/Discrimination,0.99935,0.00040,0.00002,0.00001,0.00001,0.00002,0.00002,0.00002,0.00003,0.00002,0.00002,0.00002,0.00002,0.00004
Video Games,0.00014,0.00010,0.05342,0.00020,0.00583,0.00010,0.00029,0.00058,0.00038,0.10821,0.45487,0.00077,0.37497,0.00014
Visual Distractor/Visual Attention,0.07066,0.00837,0.02314,0.19919,0.20857,0.01483,0.19380,0.00660,0.09889,0.08774,0.05823,0.00880,0.01778,0.00341
Visual Pursuit/Tracking,0.03926,0.00001,0.00001,0.14902,0.74851,0.00001,0.05771,0.00124,0.00059,0.00301,0.00059,0.00001,0.00001,0.00001
Whistling,0.03980,0.56404,0.00002,0.02654,0.00003,0.00003,0.00004,0.34581,0.00003,0.00002,0.00021,0.00005,0.01174,0.01163
Wisconsin Card Sorting Test,0.01474,0.00001,0.00148,0.11639,0.15598,0.00724,0.00142,0.01825,0.00116,0.55967,0.08110,0.00706,0.00171,0.03378
Word Generation (Covert),0.01351,0.00234,0.04220,0.03392,0.03977,0.57782,0.01784,0.01816,0.05479,0.07491,0.09093,0.02334,0.00266,0.00781
Word Generation (Overt),0.00802,0.06629,0.08877,0.00001,0.00319,0.49290,0.00018,0.00122,0.13432,0.01183,0.03555,0.06527,0.04932,0.04313
Word Stem Completion (Covert),0.00006,0.28277,0.00008,0.05589,0.00006,0.55197,0.00009,0.00006,0.08213,0.02544,0.00011,0.00122,0.00006,0.00006
Word Stem Completion (Overt),0.00003,0.08584,0.04404,0.00574,0.00016,0.40883,0.01060,0.00011,0.07144,0.24899,0.08723,0.00042,0.00005,0.03654
Writing,0.59715,0.00020,0.03986,0.05134,0.00003,0.00091,0.25836,0.05199,0.00002,0.00004,0.00002,0.00003,0.00002,0.00003
n-back,0.03823,0.02695,0.02263,0.08990,0.00151,0.08000,0.08437,0.01002,0.08934,0.41825,0.04890,0.06358,0.01122,0.01511
